Year,Month,Mdate,Sensor_ID,Hourly_Counts
2020,March,1,22,525
2020,March,1,28,192
2020,March,1,31,80
2020,March,1,30,133
2020,March,1,34,27
2020,March,1,39,8
2020,March,1,37,20
2020,March,1,40,17
2020,March,1,36,254
2020,March,1,29,30
2020,March,1,42,11
2020,March,1,43,12
2020,March,1,44,9
2020,March,1,35,282
2020,March,1,45,239
2020,March,1,41,461
2020,March,1,46,2
2020,March,1,47,191
2020,March,1,48,33
2020,March,1,49,111
2020,March,1,50,7
2020,March,1,51,35
2020,March,1,52,238
2020,March,1,54,15
2020,March,1,55,245
2020,March,1,56,90
2020,March,1,57,47
2020,March,1,58,149
2020,March,1,59,0
2020,March,1,61,56
2020,March,1,62,46
2020,March,1,63,281
2020,March,1,64,9
2020,March,1,4,242
2020,March,1,17,30
2020,March,1,18,24
2020,March,1,53,66
2020,March,1,2,86
2020,March,1,1,138
2020,March,1,3,391
2020,March,1,15,158
2020,March,1,9,18
2020,March,1,10,23
2020,March,1,12,9
2020,March,1,11,4
2020,March,1,8,6
2020,March,1,7,12
2020,March,1,5,275
2020,March,1,6,214
2020,March,1,14,134
2020,March,1,26,141
2020,March,1,24,93
2020,March,1,23,51
2020,March,1,25,221
2020,March,1,21,474
2020,March,1,20,126
2020,March,1,19,183
2020,March,1,22,417
2020,March,1,28,198
2020,March,1,31,25
2020,March,1,30,112
2020,March,1,34,8
2020,March,1,39,16
2020,March,1,37,6
2020,March,1,40,7
2020,March,1,36,368
2020,March,1,29,31
2020,March,1,42,16
2020,March,1,43,8
2020,March,1,44,10
2020,March,1,35,145
2020,March,1,45,170
2020,March,1,41,319
2020,March,1,46,1
2020,March,1,47,198
2020,March,1,48,34
2020,March,1,49,57
2020,March,1,50,4
2020,March,1,51,36
2020,March,1,52,272
2020,March,1,54,17
2020,March,1,55,255
2020,March,1,56,75
2020,March,1,57,20
2020,March,1,58,112
2020,March,1,59,0
2020,March,1,61,61
2020,March,1,62,32
2020,March,1,63,157
2020,March,1,64,7
2020,March,1,4,154
2020,March,1,17,8
2020,March,1,18,3
2020,March,1,53,69
2020,March,1,2,43
2020,March,1,1,66
2020,March,1,3,215
2020,March,1,15,83
2020,March,1,9,29
2020,March,1,10,5
2020,March,1,12,8
2020,March,1,11,3
2020,March,1,8,5
2020,March,1,7,18
2020,March,1,5,188
2020,March,1,6,136
2020,March,1,14,96
2020,March,1,26,118
2020,March,1,24,65
2020,March,1,23,30
2020,March,1,25,229
2020,March,1,21,357
2020,March,1,20,94
2020,March,1,19,113
2020,March,1,22,269
2020,March,1,28,184
2020,March,1,31,45
2020,March,1,30,115
2020,March,1,34,10
2020,March,1,39,6
2020,March,1,37,11
2020,March,1,40,9
2020,March,1,36,117
2020,March,1,29,12
2020,March,1,42,7
2020,March,1,43,1
2020,March,1,44,3
2020,March,1,35,80
2020,March,1,45,101
2020,March,1,41,270
2020,March,1,46,7
2020,March,1,47,124
2020,March,1,48,15
2020,March,1,49,56
2020,March,1,50,11
2020,March,1,51,9
2020,March,1,52,110
2020,March,1,54,1
2020,March,1,55,172
2020,March,1,56,41
2020,March,1,57,17
2020,March,1,58,65
2020,March,1,59,0
2020,March,1,61,36
2020,March,1,62,26
2020,March,1,63,125
2020,March,1,64,3
2020,March,1,4,102
2020,March,1,17,32
2020,March,1,18,8
2020,March,1,53,27
2020,March,1,2,26
2020,March,1,1,39
2020,March,1,3,148
2020,March,1,15,64
2020,March,1,9,15
2020,March,1,10,20
2020,March,1,12,8
2020,March,1,11,2
2020,March,1,8,29
2020,March,1,7,3
2020,March,1,5,179
2020,March,1,6,133
2020,March,1,14,67
2020,March,1,26,79
2020,March,1,24,77
2020,March,1,23,26
2020,March,1,25,67
2020,March,1,21,243
2020,March,1,20,47
2020,March,1,19,58
2020,March,1,22,285
2020,March,1,28,201
2020,March,1,31,9
2020,March,1,30,119
2020,March,1,34,10
2020,March,1,39,10
2020,March,1,37,4
2020,March,1,40,15
2020,March,1,36,25
