Month,Mdate,Sensor_ID,Hourly_Counts
April,3,23,1732
April,3,24,5957
April,3,25,4581
April,3,26,4699
April,3,27,1199
April,3,28,2610
April,3,29,1294
April,3,30,1722
April,3,31,1465
April,3,34,739
April,3,35,6629
April,3,36,1253
April,3,37,881
April,3,39,712
April,3,40,1063
April,3,41,6074
April,3,42,728
April,3,43,382
April,3,44,336
April,3,45,3415
April,3,46,517
April,3,47,4726
April,3,48,1813
April,3,49,2074
April,3,50,1430
April,3,51,1380
April,3,52,1438
April,3,53,2749
April,3,54,573
April,3,55,7700
April,3,56,2120
April,3,57,1522
April,3,58,3419
April,3,59,878
April,3,61,2079
April,3,62,1457
April,3,63,2413
April,3,65,2034
April,4,1,2766
April,4,2,2255
April,4,3,3374
April,4,4,3043
April,4,5,2071
April,4,6,2902
April,4,7,918
April,4,8,993
April,4,9,712
April,4,10,442
April,4,11,262
April,4,12,1234
April,4,14,1848
April,4,17,820
April,4,18,416
April,4,19,1484
April,4,20,667
April,4,21,2221
April,4,22,7063
April,4,23,1155
April,4,24,3042
April,4,26,4357
April,4,27,1412
April,4,28,1636
April,4,29,643
April,4,30,1427
April,4,31,1011
April,4,34,318
April,4,35,3391
April,4,36,544
April,4,37,585
April,4,39,207
April,4,40,530
April,4,41,3374
April,4,42,364
April,4,43,186
April,4,44,172
April,4,45,1934
April,4,46,283
April,4,47,2723
April,4,48,1825
April,4,49,1758
April,4,50,1308
April,4,51,1135
April,4,52,967
April,4,53,1388
April,4,54,454
April,4,55,6104
April,4,56,1317
April,4,57,485
April,4,58,1608
April,4,59,461
April,4,61,1288
April,4,62,1097
April,4,63,1314
April,4,65,722
April,5,1,2655
April,5,2,2132
April,5,3,3288
April,5,4,2838
April,5,5,2021
April,5,6,2701
April,5,7,1178
April,5,8,1070
April,5,9,496
April,5,10,386
April,5,11,399
April,5,12,1349
April,5,14,1016
April,5,17,592
April,5,18,253
April,5,19,1261
April,5,20,481
April,5,21,1875
April,5,22,6799
April,5,23,584
April,5,24,2688
April,5,26,3939
April,5,27,1037
April,5,28,1530
April,5,29,735
April,5,30,1143
April,5,31,873
April,5,34,370
April,5,35,3503
April,5,36,358
April,5,37,523
April,5,39,127
April,5,40,412
April,5,41,3159
April,5,42,336
April,5,43,199
April,5,44,152
April,5,45,1678
April,5,46,228
April,5,47,2447
April,5,48,1559
April,5,49,1676
April,5,50,941
April,5,51,926
April,5,52,865
April,5,53,1085
April,5,54,395
April,5,55,5394
April,5,56,955
April,5,57,477
April,5,58,1367
April,5,59,319
April,5,61,1113
April,5,62,977
April,5,63,1227
April,5,65,869
April,6,1,3571
April,6,2,3147
April,6,3,4219
April,6,4,4584
April,6,5,3495
April,6,6,4600
April,6,7,2146
April,6,8,2033
April,6,9,2166
April,6,10,830
April,6,11,826
April,6,12,2618
April,6,14,1559
April,6,17,2025
April,6,18,1215
April,6,19,1672
April,6,20,839
April,6,21,3038
April,6,22,10842
April,6,23,1637
April,6,24,5526
April,6,26,3213
April,6,27,881
April,6,28,2599
April,6,29,1227
April,6,30,1704
April,6,31,1335
April,6,34,695
April,6,35,6044
April,6,36,1142
April,6,37,886
April,6,39,752
April,6,40,1203
April,6,41,6168
April,6,42,583
April,6,43,342
April,6,44,140
April,6,45,3044
April,6,46,426
April,6,47,4986
April,6,48,1087
April,6,49,1494
April,6,50,1137
April,6,51,1371
April,6,52,1638
April,6,53,2797
April,6,54,664
April,6,55,6991
April,6,56,1730
April,6,57,1060
April,6,58,3218
April,6,59,765
April,6,61,1847
April,6,62,1320
April,6,63,2312
April,6,65,1838
April,7,1,3269
April,7,2,2957
April,7,3,3905
April,7,4,4254
April,7,5,3231
April,7,6,5148
April,7,7,2110
April,7,8,1948
April,7,9,2136
April,7,10,673
April,7,11,689
April,7,12,2275
April,7,14,1529
April,7,17,1838
April,7,18,1063
April,7,19,1494
April,7,20,887
April,7,21,2583
April,7,22,10158
April,7,23,1507
April,7,24,5601
April,7,26,4554
April,7,27,1187
April,7,28,2452
April,7,29,1131
